,fundname,isincode
75,三井住友・ＤＣ国内債券アクティブ,JP90C00008R3
76,三井住友・ＤＣ外国株式アクティブ,JP90C00008S1
77,三井住友・ＤＣ外国債券アクティブ,JP90C00008T9
78,三井住友・ＤＣ年金日本債券ファンド,JP90C00008U7
79,三井住友・ニュー・チャイナ・ファンド,JP90C00008V5
80,三井住友・ＤＣ年金日本株式２２５ファンド,JP90C00008W3
81,三井住友・日本債券インデックス・ファンド,JP90C0000904
82,チャイナ・フロンティアオープン,JP90C0000920
83,三井住友・日本債券年金ファンド,JP90C0000938
84,三井住友・ヨーロッパ国債ファンド,JP90C00009B5
85,三井住友・日本株式インデックス年金ファンド,JP90C00009D1
86,三井住友・豪ドル債ファンド,JP90C00009F6
87,三井住友・中小型株ファンド,JP90C00009J8
88,三井住友・グローバル・リート・オープン,JP90C00009K6
89,三井住友・グローバル・リート・オープン（３カ月決算型）,JP90C00009M2
90,三井住友・メインランド・チャイナ・オープン,JP90C00009N0
91,ウツミ屋　日本株ファンド「あゆみ」,JP90C00009P5
92,三井住友・ＤＣ外国株式インデックスファンドＳ,JP90C00009Q3
93,三井住友・ＤＣ外国債券インデックスファンドＳ,JP90C00009R1
94,三井住友・グローバル好配当株式オープン,JP90C00009U5
95,三井住友・アジア・オセアニア好配当株式オープン,JP90C00009V3
96,グローバル３資産ファンド,JP90C00009W1
97,三井住友・ＤＣ年金バランス３０（債券重点型）,JP90C00009X9
98,三井住友・ＤＣ年金バランス５０（標準型）,JP90C00009Y7
99,三井住友・ＤＣ年金バランス７０（株式重点型）,JP90C00009Z4
100,三井住友・フォーカス・ジャパン・オープン,JP90C0000A05
101,三井住友・グローバル・リート・オープン（１年決算型）,JP90C0000A88
102,三井住友・インド・中国株オープン,JP90C0000AA1
103,世界高金利債券ファンド,JP90C0000AH6
104,グローバル不動産投信（隔月決算型）,JP90C0000AP9
105,三井住友・グローバル・リート・プラス,JP90C0000AQ7
106,三井住友グローバル債券オープン,JP90C0000AY1
107,明治安田欧州株式ファンド,JP90C0000DQ1
108,アムンディ・毎月分配ユーロ債券ファンド,JP90C0000DT5
109,アムンディ・米国・ユーロ投資適格債ファンド,JP90C0000DU3
110,アムンディ・米国・ユーロ高利回り債ファンド,JP90C0000DV1
111,アムンディ・グラン・チャイナ・ファンド,JP90C0000DW9
112,アムンディ・りそなインド　ファンド,JP90C0000DY5
113,ＪＰＭアジア・成長株・ファンド,JP90C0000G90
114,東京海上セレクション・日本株式,JP90C0000HM1
115,東京海上セレクション・外国株式,JP90C0000HN9
116,東京海上セレクション・外国債券,JP90C0000HP4
117,東京海上セレクション・バランス３０,JP90C0000HQ2
118,東京海上セレクション・バランス５０,JP90C0000HR0
119,東京海上セレクション・バランス７０,JP90C0000HS8
120,東京海上セレクション・日本株ＴＯＰＩＸ,JP90C0000HT6
121,東京海上セレクション・日本債券,JP90C0000HU4
122,東京海上セレクション・物価連動国債,JP90C0000HW0
123,東海３県ファンド,JP90C0000JQ8
124,東海３県ファンド（確定拠出年金）,JP90C0000JR6
125,明治安田日本株式ファンド,JP90C0000JT2
126,明治安田日本債券ファンド,JP90C0000JU0
127,明治安田外国債券ファンド,JP90C0000JV8
128,明治安田アメリカ株式ファンド,JP90C0000JW6
129,明治安田ライフプランファンド２０,JP90C0000JX4
130,明治安田ライフプランファンド５０,JP90C0000JY2
131,明治安田ライフプランファンド７０,JP90C0000JZ9
132,三井住友マネー・リザーブ・ファンド（三井住友ＭＲＦ）,JP90C0000K11
133,トヨタ自動車／トヨタグループ株式ファンド,JP90C0000K29
134,三井住友・配当フォーカスオープン,JP90C0000K37
135,ＤＣトヨタ自動車／トヨタグループ株式ファンド,JP90C0000K52
136,中部経済圏株式ファンド,JP90C0000K60
137,三井住友・バンガード海外株式ファンド,JP90C0000K86
138,三井住友・ＤＣ外国債券インデックスファンド,JP90C0000KL7
139,パン・パシフィック外国債券オープン,JP90C0000KQ6
140,新成長株ファンド,JP90C0000KS2
141,明治安田ＤＣトピックスプラス,JP90C0000KW4
142,明治安田外債日本株ファンド,JP90C0000L36
143,明治安田日本株バリューアップ・セレクト１００,JP90C0000L44
144,よくわかる投資入門ファンド（日本）,JP90C0000L51
145,小型株ファンド,JP90C0000L77
146,ジャパン・グロース・ファンド,JP90C0000LA8
147,次世代ファンド,JP90C0000LC4
148,ＣＢオープン,JP90C0000LD2
149,キャッシュフロー経営評価オープン,JP90C0000LE0
150,中小型株式オープン,JP90C0000LF7
151,ヨーロッパ国債ファンド（毎月決算型）,JP90C0000LH3
152,外国債券オープン（毎月決算型）,JP90C0000LJ9
153,ＳＲＩ・ジャパン・オープン,JP90C0000LM3
154,チャイナ・リサーチ・オープン,JP90C0000LN1
155,グローバル・インカム＆プラス（毎月決算型）,JP90C0000LP6
156,Ｊ−ＲＥＩＴ・リサーチ・オープン（毎月決算型）,JP90C0000LQ4
157,ニュー配当利回り株オープン,JP90C0000LS0
158,毎月分配パッケージファンド,JP90C0000LU6
159,アジア・オセアニア配当利回り株オープン,JP90C0000LV4
160,エマージング株式オープン,JP90C0000LW2
161,財産四分法ファンド（毎月決算型）,JP90C0000LX0
162,日本株式ＳＲＩファンド,JP90C0000LY8
163,日本株式インデックス・オープン,JP90C0000M68
164,外国株式インデックス・オープン,JP90C0000M76
165,ＤＣマイセレクション２５,JP90C0000M84
166,ＤＣマイセレクション５０,JP90C0000M92
167,ＤＣマイセレクション７５,JP90C0000MA6
168,ＤＣ日本株式インデックス・オープン,JP90C0000MB4
169,ＤＣ外国株式インデックス・オープン,JP90C0000MC2
170,ＤＣ日本債券インデックス・オープン,JP90C0000MD0
171,ＤＣ外国債券インデックス・オープン,JP90C0000ME8
172,ＤＣファンダメンタル・バリュー　ファンド,JP90C0000MF5
173,ＤＣリサーチ・グロースファンド,JP90C0000MG3
174,ＤＣ日本債券インデックス・オープンＳ,JP90C0000MH1
175,ＤＣグッドカンパニー（社会的責任投資）,JP90C0000MJ7
176,ＤＣ日本債券インデックス・オープンＰ,JP90C0000MK5
177,三菱ＵＦＪ日本株オープン「３５」,JP90C0000P65
178,三菱ＵＦＪ日本株アクティブオープン（愛称：ファーブル先生）,JP90C0000P81
179,三菱ＵＦＪインデックス２２５オープン,JP90C0000P99
180,三菱ＵＦＪ日本成長株オープン（愛称：ブルーム）,JP90C0000PA9
181,三菱ＵＦＪトピックスインデックスオープン,JP90C0000PC5
182,三菱ＵＦＪライフセレクトファンド（安定型）,JP90C0000PE1
183,三菱ＵＦＪライフセレクトファンド（安定成長型）,JP90C0000PF8
184,三菱ＵＦＪライフセレクトファンド（成長型）,JP90C0000PG6
185,三菱ＵＦＪバリューオープン,JP90C0000PH4
186,三菱ＵＦＪ　ＭＶ２０,JP90C0000PJ0
187,三菱ＵＦＪ　ＭＶ４０,JP90C0000PK8
188,三菱ＵＦＪ　ＭＶ８０,JP90C0000PL6
189,三菱ＵＦＪ　グローバルイノベーション（愛称：ニュートン）,JP90C0000PS1
190,三菱ＵＦＪ外国債券オープン,JP90C0000PT9
191,追加型・公社債証券投資信託（１月設定）,JP90C0000PU7
192,追加型・公社債証券投資信託（２月設定）,JP90C0000PV5
193,追加型・公社債証券投資信託（３月設定）,JP90C0000PW3
194,追加型・公社債証券投資信託（４月設定）,JP90C0000PX1
195,追加型・公社債証券投資信託（５月設定）,JP90C0000PY9
196,追加型・公社債証券投資信託（６月設定）,JP90C0000PZ6
197,追加型・公社債証券投資信託（７月設定）,JP90C0000Q07
198,追加型・公社債証券投資信託（８月設定）,JP90C0000Q15
199,追加型・公社債証券投資信託（９月設定）,JP90C0000Q23
200,追加型・公社債証券投資信託（１０月設定）,JP90C0000Q31
201,追加型・公社債証券投資信託（１１月設定）,JP90C0000Q49
202,追加型・公社債証券投資信託（１２月設定）,JP90C0000Q56
203,三菱ＭＲＦ（マネー・リザーブ・ファンド）,JP90C0000Q72
204,三菱ＵＦＪ　ＭＲＦ（マネー・リザーブ・ファンド）,JP90C0000Q98
205,ミリオン　インデックスポートフォリオ,JP90C0000QE9
206,ミリオン　ボンドミックスポートフォリオ,JP90C0000QF6
207,フコク株２５大河,JP90C0000QG4
208,フコク日本株式ファンド,JP90C0000QH2
209,フコク日本債券ファンド,JP90C0000QJ8
210,三菱ＵＦＪトピックスオープン（確定拠出年金）,JP90C0000QY7
211,三菱ＵＦＪ日本株アクティブオープン（確定拠出年金）（愛称：ファーブル先生（確定拠出年金））,JP90C0000QZ4
212,三菱ＵＦＪインデックス２２５オープン（確定拠出年金）,JP90C0000R06
213,三菱ＵＦＪプライムバランス（安定型）（確定拠出年金）,JP90C0000R30
214,三菱ＵＦＪプライムバランス（安定成長型）（確定拠出年金）,JP90C0000R48
215,三菱ＵＦＪプライムバランス（成長型）（確定拠出年金）,JP90C0000R55
216,三菱ＵＦＪ　ＳＲＩファンド（愛称：ファミリー・フレンドリー）,JP90C0000R63
217,三菱ＵＦＪバランスインカムオープン（毎月決算型）,JP90C0000R71
218,三菱ＵＦＪ３資産分散ファンド（毎月決算型）,JP90C0000R89
219,日本株プライムニュートラル・ファンド（ラップ向け）,JP90C0000RA5
220,三菱ＵＦＪ好配当日本株ファンド（２ヵ月決算型）,JP90C0000RB3
221,三菱ＵＦＪ６資産バランスファンド（２ヵ月分配型）,JP90C0000RD9
222,三菱ＵＦＪ６資産バランスファンド（成長型）,JP90C0000RE7
223,三菱ＵＦＪ外国債券オープン（確定拠出年金）,JP90C0000RF4
224,三菱ＵＦＪ外国債券オープン（毎月分配型）,JP90C0000RG2
225,三菱ＵＦＪユーロ債券オープン（毎月分配型）,JP90C0000RH0
226,三菱ＵＦＪ米国債券オープン（毎月分配型）,JP90C0000RJ6
227,ワールド・インカムオープン,JP90C0000RK4
228,世界資源株ファンド,JP90C0000RL2
229,三菱ＵＦＪ　ＤＣ海外株式インデックスファンド,JP90C0000RM0
230,三菱ＵＦＪ　ＤＣ海外債券インデックスファンド,JP90C0000RN8
231,東海ＭＲＦ（マネー・リザーブ・ファンド）,JP90C0000RY5
232,フコク株５０大河,JP90C0000S21
233,日本株グロース・ファンド,JP90C0000S70
234,日本株バリュー・ファンド,JP90C0000S88
235,日本・小型株・ファンド,JP90C0000S96
236,日本株スタイル・ミックス・ファンド,JP90C0000SA3
237,日本株インカム・ファンド,JP90C0000SB1
238,三菱ＵＦＪ日本株アクティブ・ファンド（愛称：凄腕）,JP90C0000SC9
239,三菱ＵＦＪ日本株式オープン（愛称：選・人・力）,JP90C0000SQ9
240,三菱ＵＦＪ日本バランスオープン株式２０型,JP90C0000SR7
241,三菱ＵＦＪ日本バランスオープン株式４０型,JP90C0000SS5
242,三菱ＵＦＪライフプラン２５（愛称：ゆとりずむ２５）,JP90C0000ST3
243,三菱ＵＦＪライフプラン５０（愛称：ゆとりずむ５０）,JP90C0000SU1
244,三菱ＵＦＪライフプラン７５（愛称：ゆとりずむ７５）,JP90C0000SV9
245,三菱ＵＦＪ海外株式オープン,JP90C0000SW7
246,三菱ＵＦＪ海外債券オープン,JP90C0000SX5
247,三菱ＵＦＪシステムバリューオープン（愛称：プロフェッサー）,JP90C0000SY3
248,三菱ＵＦＪトピックスオープン,JP90C0000SZ0
249,三菱ＵＦＪ海外債券オープン（３ヵ月決算型）（愛称：四季の恵み（海外債券））,JP90C0000T20
250,三菱ＵＦＪ欧州債券オープン（３ヵ月決算型）（愛称：四季の恵み（欧州債券））,JP90C0000T38
251,三菱ＵＦＪ　ＤＣトピックスオープン,JP90C0000T46
252,三菱ＵＦＪグローバル・ボンド・オープン（毎月決算型）（愛称：花こよみ）,JP90C0000T53
253,三菱ＵＦＪ　Ｊリートオープン（３ヵ月決算型）,JP90C0000T87
254,夢楽章日経平均オープン,JP90C0000T95
255,グローバル・エマージング・ボンド・オープン（愛称：受取物語）,JP90C0000TD5
256,三菱ＵＦＪ　ＮＡＳＤＡＱオープンＡコース,JP90C0000UR3
257,三菱ＵＦＪ　ＮＡＳＤＡＱオープンＢコース,JP90C0000US1
258,三菱ＵＦＪチャイナオープン,JP90C0000UT9
259,三菱ＵＦＪ積立ファンド（日本バランス型）（愛称：ふくふく）,JP90C0000UY9
260,三菱ＵＦＪグローバルバランス（積極型）（愛称：未来地図）,JP90C0000UZ6
261,三菱ＵＦＪグローバルバランス（安定型）（愛称：未来地図）,JP90C0000V00
262,三菱ＵＦＪ日本株グロースオープン（愛称：ステージ２１）,JP90C0000V34
263,エコ・パートナーズ（愛称：みどりの翼）,JP90C0000V75
264,三菱ＵＦＪスタイルセレクト・グロースファンド（愛称：飛躍）,JP90C0000V83
265,三菱ＵＦＪスタイルセレクト・バリューファンド（愛称：変革）,JP90C0000V91
266,三菱ＵＦＪスタイルセレクト・ブレンドファンド（愛称：潮流）,JP90C0000VA7
267,ＢＷマネープールファンド,JP90C0000VB5
268,ファンド・オブ・オールスター・ファンズ,JP90C0000VD1
269,三菱ＵＦＪ　ＴＯＰＩＸ・ファンド,JP90C0000VK6
270,三菱ＵＦＪ米国債券インカムオープン（愛称：夢咲月）,JP90C0000VM2
271,三菱ＵＦＪ　ＵＳボンドファンド（毎月分配型）（愛称：夢満債（米ドルコース））,JP90C0000VQ3
272,三菱ＵＦＪジャパン・アクティブ・ファンド,JP90C0000VS9
273,三菱ＵＦＪ豪ドル債券インカムオープン（愛称：夢実月）,JP90C0000VT7
274,豪ドル毎月分配型ファンド,JP90C0000VV3
275,ピムコ　ハイ・インカム毎月分配型ファンド,JP90C0000VW1
276,オーストラリアインカムオープン,JP90C0000VX9
277,三菱ＵＦＪオーストラリアボンドファンド（毎月分配型）（愛称：夢満債（豪ドルコース））,JP90C0000VY7
278,ピムコハイ・インカム毎月分配型ファンド（為替ヘッジ付き）,JP90C0000VZ4
279,世界ソブリン債券インカムオープン（愛称：夢逢月）,JP90C0000W09
280,三菱ＵＦＪ外国株式インデックスファンド,JP90C0000W17
281,ピムコ・グローバル・ハイイールド・ファンド（毎月分配型）,JP90C0000W25
282,オーストラリア・リート・オープン（毎月決算型）,JP90C0000W33
283,ピムコ・エマージング・ボンド・オープンＡコース（為替ヘッジなし）,JP90C0000W58
284,ピムコ・エマージング・ボンド・オープンＢコース（為替ヘッジあり）,JP90C0000W66
285,日本好配当利回り株オープン（３ヵ月決算型）,JP90C0000W74
286,世界ソブリン債券・日本株ファンド（毎月分配型）（愛称：夢航路）,JP90C0000W82
287,インデックスファンド２２５,JP90C0000WC1
288,ＧＳ　ハイ・イールド・ボンド・ファンド,JP90C0000WQ1
289,ＧＳ日本株式インデックス・プラス,JP90C0000WR9
290,ＧＳ　日本小型株ファンド,JP90C0000X99
291,ゴールドマン・サックス・世界債券オープンＡ　限定為替ヘッジ（確定拠出年金向け）,JP90C0000XB1
292,ゴールドマン・サックス・世界債券オープンＡ限定為替ヘッジ（野村ＳＭＡ向け）,JP90C0000XG0
293,モナリザ　ゴールドマン・サックス世界債券ファンド,JP90C0000XJ4
294,ゴールドマン・サックス・世界債券オープンＢ　為替ヘッジなし（確定拠出年金向け）,JP90C0000XK2
295,ゴールドマン・サックス・世界債券オープンＣコース（毎月分配型、限定為替ヘッジ）,JP90C0000XL0
296,ゴールドマン・サックス・世界債券オープンＢ為替ヘッジなし（野村ＳＭＡ向け）,JP90C0000XN6
297,ＧＳ・日本株ファンド（愛称　牛若丸）,JP90C0000XP1
298,バラエティ・オープン,JP90C0000XQ9
299,ゴールドマン・サックス・世界債券オープン　Ａコース（限定為替ヘッジ）,JP90C0000XR7
300,ＧＳ・日本株ファンド（自動けいぞく）（愛称　牛若丸（自動けいぞく））,JP90C0000XT3
301,ｎｅｔＷＩＮ　ＧＳテクノロジー株式ファンド　Ａコース（為替ヘッジあり）,JP90C0000XV9
302,ゴールドマン・サックス・世界債券オープンＤコース（毎月分配型、為替ヘッジなし）,JP90C0000XW7
303,ダ・ヴィンチ,JP90C0000XY3
304,ゴールドマン・サックス・世界債券オープン　Ｂコース（為替ヘッジなし）,JP90C0000Y07
305,ｎｅｔＷＩＮ　ＧＳテクノロジー株式ファンド　Ｂコース（為替ヘッジなし）,JP90C0000Y15
306,ＤＣ　ガリレオ,JP90C0000YQ7
307,ガリレオ,JP90C0000YS3
308,ゴールドマン・サックス毎月分配債券ファンド（愛称　妖精物語）,JP90C0000Z06
309,ゴールドマン・サックス　米国ＲＥＩＴファンドＡコース（毎月分配型、為替ヘッジあり）,JP90C0000Z14
310,ＧＳ新成長国債券ファンド,JP90C0000Z22
311,ゴールドマン・サックス　米国ＲＥＩＴファンドＢコース（毎月分配型、為替ヘッジなし）,JP90C0000Z48
312,ＧＳ　日本株・プラス（通貨分散コース）,JP90C0000Z55
313,トピックスオープン,JP90C0001027
314,ＪＡＳＤＡＱオープン,JP90C0001043
315,三菱ＵＦＪ国内バランス２０（愛称：夢列島２０）,JP90C00010B3
316,三菱ＵＦＪライフ・バランスファンド（安定型）,JP90C00010D9
317,三菱ＵＦＪライフ・バランスファンド（安定成長型）,JP90C00010E7
318,三菱ＵＦＪライフ・バランスファンド（成長型）,JP90C00010F4
319,三菱ＵＦＪライフ・バランスファンド（積極型）,JP90C00010G2
320,三菱ＵＦＪターゲット・イヤーファンド２０３０,JP90C00010K4
321,三菱ＵＦＪターゲット・イヤーファンド２０４０,JP90C00010L2
322,三菱ＵＦＪ＜ＤＣ＞ライフ・バランスファンド（安定型）,JP90C00010M0
323,三菱ＵＦＪ＜ＤＣ＞ライフ・バランスファンド（安定成長型）,JP90C00010N8
324,三菱ＵＦＪ＜ＤＣ＞ライフ・バランスファンド（成長型）,JP90C00010P3
325,三菱ＵＦＪ＜ＤＣ＞ライフ・バランスファンド（積極型）,JP90C00010Q1
326,三菱ＵＦＪ＜ＤＣ＞ＴＯＰＩＸ・ファンド,JP90C00010R9
327,三菱ＵＦＪ＜ＤＣ＞海外債券オープン,JP90C00010S7
328,フコク株７５大河,JP90C00010T5
329,三菱ＵＦＪ＜ＤＣ＞外国株式インデックスファンド,JP90C00010U3
330,三菱ＵＦＪ＜ＤＣ＞日本債券インデックスファンド,JP90C00010V1
331,＜ＤＣ＞日本株スタイル・ミックス・ファンド（愛称：「総合力」）,JP90C00010W9
332,＜ＤＣ＞インデックスファンド２２５,JP90C00010X7
333,三菱ＵＦＪ＜ＤＣ＞ターゲット・イヤーファンド２０３０,JP90C0001100
334,三菱ＵＦＪ＜ＤＣ＞ターゲット・イヤーファンド２０４０,JP90C0001118
335,三菱ＵＦＪ＜ＤＣ＞日本債券ファンド,JP90C0001134
336,三菱ＵＦＪ＜ＤＣ＞海外株式オープン,JP90C0001142
337,三菱ＵＦＪ＜ＤＣ＞日本株オープン「３５」,JP90C0001159
338,三菱ＵＦＪ＜ＤＣ＞外国債券インデックスファンド,JP90C0001167
339,三菱ＵＦＪ＜ＤＣ＞インデックス・ライフ・バランスファンド（安定型）,JP90C0001175
340,三菱ＵＦＪ＜ＤＣ＞インデックス・ライフ・バランスファンド（安定成長型）,JP90C0001183
341,三菱ＵＦＪ＜ＤＣ＞インデックス・ライフ・バランスファンド（成長型）,JP90C0001191
342,三菱ＵＦＪ＜ＤＣ＞インデックス・ライフ・バランスファンド（積極型）,JP90C00011A3
343,三菱ＵＦＪ＜ＤＣ＞グローバルバランス２０型（愛称：＜ＤＣ＞未来地図２０型）,JP90C00011B1
344,三菱ＵＦＪ＜ＤＣ＞グローバルバランス４０型（愛称：＜ＤＣ＞未来地図４０型）,JP90C00011C9
345,三菱ＵＦＪ＜ＤＣ＞グローバルバランス６０型（愛称：＜ＤＣ＞未来地図６０型）,JP90C00011D7
346,三菱ＵＦＪ　ＤＣ国内債券インデックスファンド,JP90C00011E5
347,三菱ＵＦＪ　ＤＣ国内株式インデックスファンド,JP90C00011F2
348,Ｊオープン（店頭・小型株）,JP90C00011H8
349,グローバル・ボンド・ニューマーケット（毎月決算型）（愛称：星こよみ）,JP90C00011L0
350,三菱ＵＦＪジャパン・アクティブ・プラス,JP90C00011N6
351,フランクリン・テンプルトン　米国政府証券ファンド（愛称：メイフラワー号）,JP90C00011W7
352,ジャパン・アクティブ・セレクト・オープン,JP90C00011X5
353,日本株・アクティブ・セレクト・オープン,JP90C00011Y3
354,農中ＵＳ債券オ−プン,JP90C0001217
355,ＤＬＩＢＪ公社債オープン（短期コース）,JP90C00012L8
356,ＤＬＩＢＪ公社債オープン（中期コース）,JP90C00012M6
357,ＤＩＡＭ　ワールド・リート・インカム・オープン（毎月決算コース）,JP90C00012Q7
358,ＤＩＡＭ世界インカム・オープン（毎月決算コース）,JP90C00012R5
359,たんぎん世界好配当株式ファンド（毎月分配型）,JP90C0001373
360,アムンディ・ターゲット・ジャパン・ファンド,JP90C00013G6
361,アムンディ・中国株ファンド,JP90C00013H4
362,アムンディ・ロシア東欧株ファンド,JP90C00013K8
363,りそな・小型株ファンド,JP90C00013M4
364,りそな・ＴＯＰＩＸオープン,JP90C00013S1
365,りそな・日経２２５オープン,JP90C00013U7
366,アムンディ・世界好配当株式ファンド（毎月分配型）,JP90C0001449
367,日経２２５ノーロードオープン,JP90C0001530
368,ハイブリッド・セレクション,JP90C0001555
369,ＤＬ日本株式オープン,JP90C0001571
370,ＩＢＪＩＴＭジャパン・セレクション,JP90C0001589
371,ＤＩＡＭ成長株オープン,JP90C00015A4
372,Ｏｎｅ国内株オープン,JP90C00015B2
373,ＤＩＡＭ日本株式オープン＜ＤＣ年金＞,JP90C00015C0
374,ＤＩＡＭジャパン・セレクション＜ＤＣ年金＞,JP90C00015D8
375,ＤＩＡＭ国内株式インデックスファンド＜ＤＣ年金＞,JP90C00015E6
376,ＤＩＡＭ国内債券インデックスファンド＜ＤＣ年金＞,JP90C00015F3
377,きらめきジャパン,JP90C00015H9
378,日本製鉄グループ株式オープン,JP90C00015K3
379,みずほ日本株アクティブ・オープン,JP90C00015L1
380,グローバル・ボンド・ポート（Ｃコース）,JP90C00015Q0
381,グローバル・ボンド・ポート（Ｄコース）,JP90C00015R8
382,ドルマネーファンド,JP90C00015U2
383,ＤＩＡＭ外国株式オープン＜ＤＣ年金＞,JP90C00015Y4
384,グローバル・ボンド・ポート毎月決算コース（為替へッジなし）,JP90C00015Z1
385,ＤＩＡＭ外国株式インデックスファンド＜ＤＣ年金＞,JP90C0001605
386,ＤＩＡＭ外国債券インデックスファンド＜ＤＣ年金＞,JP90C0001613
387,ＤＩＡＭグローバル・ボンド・ポート　毎月決算コース２,JP90C0001621
388,ＤＩＡＭ高格付インカム・オープン（毎月決算コース）,JP90C0001639
389,ＤＩＡＭ中国関連株オープン,JP90C0001647
390,ＤＩＡＭ世界好配当株オープン（毎月決算コース）,JP90C0001662
391,ＤＩＡＭ高格付インカム・オープン＜ＤＣ年金＞,JP90C0001670
392,バランス物語３０（安定型）,JP90C00016E4
393,バランス物語５０（安定・成長型）,JP90C00016F1
394,バランス物語７０（成長型）,JP90C00016G9
395,ＤＩＡＭライフサイクル・ファンド＜ＤＣ年金＞１安定型,JP90C00016H7
